# generated from the tensat project
# ("Equality Saturation for Tensor Graph Superoptimization" by Yang, Phothilimthana, Wang, Willsey, Roy and Pienaar)
# network: bert
# node_limit: 50000
# iteration limit: 15
# multipatern iteration limit: 2
## root: 191
2081,0,Split([10; 2080]),10,2080
269,0,Split1(5341),5341
269,0,Split1(5381),5381
269,0,Split1(5411),5411
269,0,Split1(5446),5446
269,0,Split1(5516),5516
269,0,Split1(5576),5576
35623,0.5625920295715332,Matmul([0; 51; 35629]),0,51,35629
35623,0.5505920052528381,Matmul([0; 453; 35635]),0,453,35635
35623,0.5505920052528381,Matmul([0; 8735; 35639]),0,8735,35639
35623,0.5505920052528381,Matmul([0; 8821; 35641]),0,8821,35641
35623,0.5420160293579102,Matmul([0; 9062; 4759]),0,9062,4759
666,0,Split([10; 665]),10,665
7106,0,Split([10; 7105]),10,7105
340,0,Split([10; 339]),10,339
10798,0.5625920295715332,Matmul([0; 74; 10800]),0,74,10800
10798,0.5505920052528381,Matmul([0; 463; 10802]),0,463,10802
10798,0.5505920052528381,Matmul([0; 8741; 10804]),0,8741,10804
10798,0.5420160293579102,Matmul([0; 8835; 4624]),0,8835,4624
10798,0.5420160293579102,Matmul([0; 9113; 4629]),0,9113,4629
8979,0.40112000703811646,Matmul([0; 120; 8981]),0,120,8981
8979,0.3935360014438629,Matmul([0; 483; 579]),0,483,579
8979,0.3887999951839447,Matmul([0; 8753; 408]),0,8753,408
37307,0.8015679717063904,Matmul([0; 74; 37309]),0,74,37309
37307,0.7639679908752441,Matmul([0; 463; 6279]),0,463,6279
40577,0.8015679717063904,Matmul([0; 120; 40579]),0,120,40579
40577,0.7639679908752441,Matmul([0; 483; 7064]),0,483,7064
11342,0.8015679717063904,Matmul([0; 120; 11344]),0,120,11344
11342,0.7639679908752441,Matmul([0; 483; 7074]),0,483,7074
11342,0.7639679908752441,Matmul([0; 8753; 7079]),0,8753,7079
2604,0.00003199999991920777,Concat([10; 192; 97; 288]),10,192,97,288
26949,0.5625920295715332,Matmul([0; 28; 26951]),0,28,26951
26949,0.5505920052528381,Matmul([0; 443; 26953]),0,443,26953
26949,0.5420160293579102,Matmul([0; 8729; 2229]),0,8729,2229
8987,0.40112000703811646,Matmul([0; 120; 8989]),0,120,8989
8987,0.3935360014438629,Matmul([0; 483; 583]),0,483,583
8987,0.3887999951839447,Matmul([0; 8753; 418]),0,8753,418
5490,0.06892800331115723,Matmul([0; 3; 36493]),0,3,36493
5490,0.0708480030298233,Matmul([0; 29; 36495]),0,29,36495
5490,0.07011199742555618,Matmul([0; 52; 5489]),0,52,5489
6275,0.06892800331115723,Matmul([0; 3; 37287]),0,3,37287
6275,0.0708480030298233,Matmul([0; 29; 37291]),0,29,37291
6275,0.0708480030298233,Matmul([0; 52; 37295]),0,52,37295
6275,0.0708480030298233,Matmul([0; 75; 37297]),0,75,37297
6275,0.07011199742555618,Matmul([0; 98; 6274]),0,98,6274
27807,0.40112000703811646,Matmul([0; 28; 27811]),0,28,27811
27807,0.3935360014438629,Matmul([0; 443; 27815]),0,443,27815
27807,0.3935360014438629,Matmul([0; 8729; 27817]),0,8729,27817
27807,0.3887999951839447,Matmul([0; 8807; 2989]),0,8807,2989
2999,0.00003199999991920777,Concat([10; 192; 111; 479]),10,192,111,479
6436,0,Split([10; 6435]),10,6435
27347,0.40112000703811646,Matmul([0; 74; 27349]),0,74,27349
27347,0.3887999951839447,Matmul([0; 463; 2699]),0,463,2699
7021,0,Split([10; 7020]),10,7020
31537,0.5625920295715332,Matmul([0; 74; 31543]),0,74,31543
31537,0.5505920052528381,Matmul([0; 463; 31547]),0,463,31547
31537,0.5505920052528381,Matmul([0; 8741; 31549]),0,8741,31549
31537,0.5420160293579102,Matmul([0; 8835; 4149]),0,8835,4149
17433,0.5625920295715332,Matmul([0; 51; 10790]),0,51,10790
17433,0.5505920052528381,Matmul([0; 453; 10792]),0,453,10792
17433,0.5505920052528381,Matmul([0; 8735; 10794]),0,8735,10794
17433,0.5505920052528381,Matmul([0; 8821; 10796]),0,8821,10796
17433,0.5420160293579102,Matmul([0; 9062; 4614]),0,9062,4614
17433,0.5420160293579102,Matmul([0; 9110; 4619]),0,9110,4619
40441,0.8015679717063904,Matmul([0; 51; 40447]),0,51,40447
40441,0.7773119807243347,Matmul([0; 453; 40453]),0,453,40453
40441,0.7773119807243347,Matmul([0; 8735; 40457]),0,8735,40457
40441,0.7773119807243347,Matmul([0; 8821; 40459]),0,8821,40459
40441,0.7639679908752441,Matmul([0; 9062; 7039]),0,9062,7039
3474,0.00002700000004551839,Concat([10; 192; 477; 333]),10,192,477,333
28387,0.5625920295715332,Matmul([0; 51; 28391]),0,51,28391
28387,0.5505920052528381,Matmul([0; 453; 28393]),0,453,28393
28387,0.5420160293579102,Matmul([0; 8735; 3314]),0,8735,3314
1679,0.00003199999991920777,Concat([10; 192; 59; 463]),10,192,59,463
1229,0.00003199999991920777,Concat([10; 192; 42; 449]),10,192,42,449
4184,0.00003199999991920777,Concat([10; 192; 157; 503]),10,192,157,503
4320,0.035840000957250595,Matmul([0; 3; 32391]),0,3,32391
4320,0.03641600161790848,Matmul([0; 29; 32395]),0,29,32395
4320,0.03641600161790848,Matmul([0; 52; 32401]),0,52,32401
4320,0.03641600161790848,Matmul([0; 75; 32407]),0,75,32407
4320,0.03641600161790848,Matmul([0; 98; 32411]),0,98,32411
4320,0.03641600161790848,Matmul([0; 121; 32413]),0,121,32413
4320,0.0360959991812706,Matmul([0; 144; 4319]),0,144,4319
27211,0.3963199853897095,Matmul([0; 74; 2539]),0,74,2539
36399,0.7783359885215759,Matmul([0; 28; 5144]),0,28,5144
726,0,Split([10; 725]),10,725
10628,0.5523520112037659,Matmul([0; 120; 4124]),0,120,4124
10628,0.5420160293579102,Matmul([0; 483; 4129]),0,483,4129
5386,0,Split([10; 5385]),10,5385
29687,0.40112000703811646,Matmul([0; 97; 29689]),0,97,29689
29687,0.3887999951839447,Matmul([0; 473; 3724]),0,473,3724
33055,0.5625920295715332,Matmul([0; 97; 33059]),0,97,33059
33055,0.5505920052528381,Matmul([0; 473; 33061]),0,473,33061
33055,0.5420160293579102,Matmul([0; 8747; 4439]),0,8747,4439
30859,0.40112000703811646,Matmul([0; 51; 30865]),0,51,30865
30859,0.3935360014438629,Matmul([0; 453; 30871]),0,453,30871
30859,0.3935360014438629,Matmul([0; 8735; 30875]),0,8735,30875
30859,0.3935360014438629,Matmul([0; 8821; 30877]),0,8821,30877
30859,0.3887999951839447,Matmul([0; 9062; 4024]),0,9062,4024
4775,0.05350400134921074,Matmul([0; 3; 35691]),0,3,35691
4775,0.05407999828457832,Matmul([0; 29; 35695]),0,29,35695
4775,0.05407999828457832,Matmul([0; 52; 35701]),0,52,35701
4775,0.05407999828457832,Matmul([0; 75; 35707]),0,75,35707
4775,0.05407999828457832,Matmul([0; 98; 35711]),0,98,35711
4775,0.05407999828457832,Matmul([0; 121; 35713]),0,121,35713
4775,0.05532800033688545,Matmul([0; 144; 4774]),0,144,4774
29795,0.5625920295715332,Matmul([0; 74; 29797]),0,74,29797
29795,0.5420160293579102,Matmul([0; 463; 3764]),0,463,3764
5491,0,Split([10; 5490]),10,5490
5325,0.06892800331115723,Matmul([0; 3; 36435]),0,3,36435
5325,0.07011199742555618,Matmul([0; 29; 5324]),0,29,5324
6444,0.7783359885215759,Matmul([0; 120; 6449]),0,120,6449
6444,0.000029000000722589903,Concat([10; 192; 553; 561]),10,192,553,561
8801,0.23977600038051605,Matmul([0; 51; 457]),0,51,457
8801,0.22566400468349457,Matmul([0; 453; 82]),0,453,82
6561,0,Split([10; 6560]),10,6560
5416,0,Split([10; 5415]),10,5415
31527,0.5625920295715332,Matmul([0; 28; 31531]),0,28,31531
31527,0.5505920052528381,Matmul([0; 443; 31537]),0,443,31537
31527,0.5505920052528381,Matmul([0; 8729; 31543]),0,8729,31543
31527,0.5505920052528381,Matmul([0; 8807; 31547]),0,8807,31547
31527,0.5505920052528381,Matmul([0; 9023; 31549]),0,9023,31549
31527,0.5420160293579102,Matmul([0; 9059; 4149]),0,9059,4149
10584,0.5625920295715332,Matmul([0; 74; 10586]),0,74,10586
10584,0.5505920052528381,Matmul([0; 463; 10588]),0,463,10588
10584,0.5420160293579102,Matmul([0; 8741; 4074]),0,8741,4074
10584,0.5420160293579102,Matmul([0; 8835; 4079]),0,8835,4079
6016,0,Split([10; 6015]),10,6015
5219,0.00002499999936844688,Concat([10; 192; 228; 519]),10,192,228,519
5726,0,Split([10; 5725]),10,5725
30003,0.5625920295715332,Matmul([0; 28; 30007]),0,28,30007
30003,0.5505920052528381,Matmul([0; 443; 30013]),0,443,30013
30003,0.5505920052528381,Matmul([0; 8729; 30017]),0,8729,30017
30003,0.5505920052528381,Matmul([0; 8807; 30019]),0,8807,30019
30003,0.5420160293579102,Matmul([0; 9023; 3829]),0,9023,3829
6705,0.06892800331115723,Matmul([0; 3; 38607]),0,3,38607
6705,0.0708480030298233,Matmul([0; 29; 38611]),0,29,38611
6705,0.0708480030298233,Matmul([0; 52; 38617]),0,52,38617
6705,0.0708480030298233,Matmul([0; 75; 38621]),0,75,38621
6705,0.0708480030298233,Matmul([0; 98; 38623]),0,98,38623
6705,0.07011199742555618,Matmul([0; 121; 6704]),0,121,6704
2291,0,Split([10; 2290]),10,2290
5856,0,Split([10; 5855]),10,5855
53,0,Var("w_8@1024_1024")
4300,0.05350400134921074,Matmul([0; 3; 32295]),0,3,32295
4300,0.05407999828457832,Matmul([0; 29; 32299]),0,29,32299
4300,0.05407999828457832,Matmul([0; 52; 32305]),0,52,32305
4300,0.05407999828457832,Matmul([0; 75; 32311]),0,75,32311
4300,0.05407999828457832,Matmul([0; 98; 32315]),0,98,32315
4300,0.05407999828457832,Matmul([0; 121; 32317]),0,121,32317
4300,0.05532800033688545,Matmul([0; 144; 4299]),0,144,4299
8558,0,Split([0; 8557]),0,8557
10322,0.5523520112037659,Matmul([0; 74; 3199]),0,74,3199
10322,0.5420160293579102,Matmul([0; 463; 3204]),0,463,3204
10330,0.5625920295715332,Matmul([0; 28; 10332]),0,28,10332
10330,0.5505920052528381,Matmul([0; 443; 10334]),0,443,10334
10330,0.5420160293579102,Matmul([0; 8729; 3219]),0,8729,3219
10330,0.5420160293579102,Matmul([0; 8807; 3224]),0,8807,3224
28323,0.40112000703811646,Matmul([0; 28; 28327]),0,28,28327
28323,0.3935360014438629,Matmul([0; 443; 28333]),0,443,28333
28323,0.3935360014438629,Matmul([0; 8729; 28337]),0,8729,28337
28323,0.3935360014438629,Matmul([0; 8807; 28339]),0,8807,28339
28323,0.3887999951839447,Matmul([0; 9023; 3294]),0,9023,3294
3446,0,Split([10; 3445]),10,3445
6014,0.7783359885215759,Matmul([0; 74; 6019]),0,74,6019
6014,0.000029000000722589903,Concat([10; 192; 537; 539]),10,192,537,539
28287,0.40112000703811646,Matmul([0; 28; 28291]),0,28,28291
28287,0.3935360014438629,Matmul([0; 443; 28297]),0,443,28297
28287,0.3935360014438629,Matmul([0; 8729; 28301]),0,8729,28301
28287,0.3935360014438629,Matmul([0; 8807; 28303]),0,8807,28303
28287,0.3887999951839447,Matmul([0; 9023; 3284]),0,9023,3284
33133,0.5523520112037659,Matmul([0; 143; 4469]),0,143,4469
40537,0.8015679717063904,Matmul([0; 51; 40543]),0,51,40543
40537,0.7773119807243347,Matmul([0; 453; 40549]),0,453,40549
40537,0.7773119807243347,Matmul([0; 8735; 40553]),0,8735,40553
40537,0.7773119807243347,Matmul([0; 8821; 40555]),0,8821,40555
40537,0.7639679908752441,Matmul([0; 9062; 7059]),0,9062,7059
4495,0.05350400134921074,Matmul([0; 3; 17047]),0,3,17047
4495,0.05407999828457832,Matmul([0; 29; 17049]),0,29,17049
4495,0.05407999828457832,Matmul([0; 52; 10726]),0,52,10726
4495,0.05407999828457832,Matmul([0; 75; 10728]),0,75,10728
4495,0.05407999828457832,Matmul([0; 98; 10730]),0,98,10730
4495,0.05407999828457832,Matmul([0; 121; 10732]),0,121,10732
4495,0.05532800033688545,Matmul([0; 144; 4494]),0,144,4494
4495,0.05532800033688545,Matmul([0; 167; 4499]),0,167,4499
38065,0.8015679717063904,Matmul([0; 51; 38071]),0,51,38071
38065,0.7773119807243347,Matmul([0; 453; 38075]),0,453,38075
38065,0.7773119807243347,Matmul([0; 8735; 38077]),0,8735,38077
38065,0.7639679908752441,Matmul([0; 8821; 6549]),0,8821,6549
7030,0.06892800331115723,Matmul([0; 3; 40389]),0,3,40389
7030,0.0708480030298233,Matmul([0; 29; 40393]),0,29,40393
7030,0.0708480030298233,Matmul([0; 52; 40399]),0,52,40399
7030,0.0708480030298233,Matmul([0; 75; 40405]),0,75,40405
7030,0.0708480030298233,Matmul([0; 98; 40409]),0,98,40409
7030,0.0708480030298233,Matmul([0; 121; 40411]),0,121,40411
7030,0.07011199742555618,Matmul([0; 144; 7029]),0,144,7029
39865,0.8015679717063904,Matmul([0; 74; 39871]),0,74,39871
39865,0.7773119807243347,Matmul([0; 463; 39875]),0,463,39875
39865,0.7773119807243347,Matmul([0; 8741; 39877]),0,8741,39877
39865,0.7639679908752441,Matmul([0; 8835; 6929]),0,8835,6929
26567,0.5523520112037659,Matmul([0; 28; 1349]),0,28,1349
9624,0.23977600038051605,Matmul([0; 51; 9626]),0,51,9626
9624,0.23161600530147552,Matmul([0; 453; 9628]),0,453,9628
9624,0.23161600530147552,Matmul([0; 8735; 8855]),0,8735,8855
9624,0.23161600530147552,Matmul([0; 8821; 8857]),0,8821,8857
9624,0.23161600530147552,Matmul([0; 9062; 497]),0,9062,497
9624,0.22566400468349457,Matmul([0; 9110; 174]),0,9110,174
36839,0.8015679717063904,Matmul([0; 51; 36841]),0,51,36841
36839,0.7639679908752441,Matmul([0; 453; 5984]),0,453,5984
6374,0.00002499999936844688,Concat([10; 192; 333; 561]),10,192,333,561
589,0.00003199999991920777,Concat([10; 192; 5; 435]),10,192,5,435
7071,0,Split([10; 7070]),10,7070
29623,0.5625920295715332,Matmul([0; 51; 29629]),0,51,29629
29623,0.5505920052528381,Matmul([0; 453; 29633]),0,453,29633
29623,0.5505920052528381,Matmul([0; 8735; 29635]),0,8735,29635
29623,0.5420160293579102,Matmul([0; 8821; 3709]),0,8821,3709
2484,0.00003199999991920777,Concat([10; 192; 88; 298]),10,192,88,298
2724,0.00002700000004551839,Concat([10; 192; 465; 293]),10,192,465,293
1369,0.00003199999991920777,Concat([10; 192; 51; 449]),10,192,51,449
11074,0.8015679717063904,Matmul([0; 28; 11076]),0,28,11076
11074,0.7773119807243347,Matmul([0; 443; 11078]),0,443,11078
11074,0.7639679908752441,Matmul([0; 8729; 6254]),0,8729,6254
11074,0.7639679908752441,Matmul([0; 8807; 6259]),0,8807,6259
10142,0.5625920295715332,Matmul([0; 28; 10144]),0,28,10144
10142,0.5420160293579102,Matmul([0; 443; 2344]),0,443,2344
10142,0.5420160293579102,Matmul([0; 8729; 2349]),0,8729,2349
10348,0.5523520112037659,Matmul([0; 97; 3334]),0,97,3334
10348,0.5420160293579102,Matmul([0; 473; 3339]),0,473,3339
28015,0.5625920295715332,Matmul([0; 51; 28019]),0,51,28019
28015,0.5505920052528381,Matmul([0; 453; 28021]),0,453,28021
28015,0.5420160293579102,Matmul([0; 8735; 3114]),0,8735,3114
3336,0,Split([10; 3335]),10,3335
30751,0.5625920295715332,Matmul([0; 97; 30755]),0,97,30755
30751,0.5505920052528381,Matmul([0; 473; 30757]),0,473,30757
30751,0.5420160293579102,Matmul([0; 8747; 3989]),0,8747,3989
3819,0.5523520112037659,Matmul([0; 120; 3824]),0,120,3824
3819,0.00003199999991920777,Concat([10; 192; 483; 563]),10,192,483,563
2590,0.05350400134921074,Matmul([0; 3; 10174]),0,3,10174
2590,0.05407999828457832,Matmul([0; 29; 10176]),0,29,10176
2590,0.05532800033688545,Matmul([0; 52; 2589]),0,52,2589
2590,0.05532800033688545,Matmul([0; 75; 2594]),0,75,2594
10830,0.5625920295715332,Matmul([0; 74; 10832]),0,74,10832
10830,0.5505920052528381,Matmul([0; 463; 10834]),0,463,10834
10830,0.5505920052528381,Matmul([0; 8741; 10836]),0,8741,10836
10830,0.5420160293579102,Matmul([0; 8835; 4699]),0,8835,4699
10830,0.5420160293579102,Matmul([0; 9113; 4704]),0,9113,4704
10926,0.7783359885215759,Matmul([0; 28; 5464]),0,28,5464
10926,0.7639679908752441,Matmul([0; 443; 5469]),0,443,5469
27819,0.40112000703811646,Matmul([0; 28; 27823]),0,28,27823
27819,0.3935360014438629,Matmul([0; 443; 27827]),0,443,27827
27819,0.3935360014438629,Matmul([0; 8729; 27829]),0,8729,27829
27819,0.3887999951839447,Matmul([0; 8807; 2994]),0,8807,2994
28403,0.5625920295715332,Matmul([0; 74; 28405]),0,74,28405
28403,0.5420160293579102,Matmul([0; 463; 3319]),0,463,3319
10724,0.5523520112037659,Matmul([0; 120; 4409]),0,120,4409
10724,0.5420160293579102,Matmul([0; 483; 4414]),0,483,4414
31027,0.5625920295715332,Matmul([0; 51; 31033]),0,51,31033
31027,0.5505920052528381,Matmul([0; 453; 31037]),0,453,31037
31027,0.5505920052528381,Matmul([0; 8735; 31039]),0,8735,31039
31027,0.5420160293579102,Matmul([0; 8821; 4064]),0,8821,4064
36439,0.7783359885215759,Matmul([0; 28; 5334]),0,28,5334
37041,0.8015679717063904,Matmul([0; 74; 37043]),0,74,37043
37041,0.7639679908752441,Matmul([0; 463; 6139]),0,463,6139
28811,0.40112000703811646,Matmul([0; 97; 28813]),0,97,28813
28811,0.3887999951839447,Matmul([0; 473; 3449]),0,473,3449
38661,0.8015679717063904,Matmul([0; 28; 38665]),0,28,38665
38661,0.7773119807243347,Matmul([0; 443; 38671]),0,443,38671
38661,0.7773119807243347,Matmul([0; 8729; 38675]),0,8729,38675
38661,0.7773119807243347,Matmul([0; 8807; 38677]),0,8807,38677
38661,0.7639679908752441,Matmul([0; 9023; 6719]),0,9023,6719
9664,0.23977600038051605,Matmul([0; 51; 9666]),0,51,9666
9664,0.23161600530147552,Matmul([0; 453; 9668]),0,453,9668
9664,0.23161600530147552,Matmul([0; 8735; 8863]),0,8735,8863
9664,0.23161600530147552,Matmul([0; 8821; 8865]),0,8821,8865
9664,0.23161600530147552,Matmul([0; 9062; 503]),0,9062,503
9664,0.22566400468349457,Matmul([0; 9110; 189]),0,9110,189
32367,0.40112000703811646,Matmul([0; 28; 32371]),0,28,32371
32367,0.3935360014438629,Matmul([0; 443; 32377]),0,443,32377
32367,0.3935360014438629,Matmul([0; 8729; 32383]),0,8729,32383
32367,0.3935360014438629,Matmul([0; 8807; 32387]),0,8807,32387
32367,0.3935360014438629,Matmul([0; 9023; 32389]),0,9023,32389
32367,0.3887999951839447,Matmul([0; 9059; 4314]),0,9059,4314
1045,0.05350400134921074,Matmul([0; 3; 26523]),0,3,26523
1045,0.05532800033688545,Matmul([0; 29; 1044]),0,29,1044
5869,0.00003199999991920777,Concat([10; 192; 288; 308]),10,192,288,308
379,0.035840000957250595,Matmul([0; 3; 9844]),0,3,9844
379,0.03641600161790848,Matmul([0; 29; 9846]),0,29,9846
379,0.03641600161790848,Matmul([0; 52; 9848]),0,52,9848
379,0.03641600161790848,Matmul([0; 75; 8955]),0,75,8955
379,0.03641600161790848,Matmul([0; 98; 8957]),0,98,8957
379,0.03641600161790848,Matmul([0; 121; 567]),0,121,567
379,0.0360959991812706,Matmul([0; 144; 378]),0,144,378
379,0,Split0(6826),6826
379,0,Split0(6836),6836
379,0,Split0(6846),6846
379,0,Split0(6856),6856
379,0,Split0(6866),6866
379,0,Split0(6871),6871
379,0,Split0(6876),6876
379,0,Split0(6881),6881
379,0,Split0(6886),6886
379,0,Split0(6891),6891
379,0,Split0(8686),8686
379,0,Split1(3401),3401
379,0,Split1(3551),3551
379,0,Split1(3696),3696
379,0,Split1(3836),3836
379,0,Split1(3936),3936
379,0,Split1(4086),4086
379,0,Split1(4231),4231
379,0,Split1(4371),4371
379,0,Split1(4471),4471
379,0,Split1(4571),4571
379,0,Split1(4666),4666
379,0,Split1(4756),4756
379,0,Split1(6471),6471
379,0,Split1(6541),6541
379,0,Split1(6601),6601
379,0,Split1(6651),6651
379,0,Split1(6691),6691
379,0,Split1(6721),6721
379,0,Split1(6746),6746
1205,0.05350400134921074,Matmul([0; 3; 26547]),0,3,26547
1205,0.05532800033688545,Matmul([0; 29; 1204]),0,29,1204
1671,0,Split([10; 1670]),10,1670
3649,0.5523520112037659,Matmul([0; 120; 3654]),0,120,3654
3649,0.00003199999991920777,Concat([10; 192; 479; 557]),10,192,479,557
40107,0.8015679717063904,Matmul([0; 28; 40111]),0,28,40111
40107,0.7773119807243347,Matmul([0; 443; 40117]),0,443,40117
40107,0.7773119807243347,Matmul([0; 8729; 40123]),0,8729,40123
40107,0.7773119807243347,Matmul([0; 8807; 40127]),0,8807,40127
40107,0.7773119807243347,Matmul([0; 9023; 40129]),0,9023,40129
40107,0.7639679908752441,Matmul([0; 9059; 6974]),0,9059,6974
5411,0,Split([10; 5410]),10,5410
4924,0.00002499999936844688,Concat([10; 192; 198; 509]),10,192,198,509
40457,0.8015679717063904,Matmul([0; 120; 40459]),0,120,40459
40457,0.7639679908752441,Matmul([0; 483; 7039]),0,483,7039
8223,0,Split([10; 6164]),10,6164
3611,0,Split([10; 3610]),10,3610
245,0,Split([10; 244]),10,244
38035,0.8015679717063904,Matmul([0; 74; 38039]),0,74,38039
38035,0.7773119807243347,Matmul([0; 463; 38041]),0,463,38041
38035,0.7639679908752441,Matmul([0; 8741; 6539]),0,8741,6539
8544,0.000019999999494757503,Concat([0; 192; 167; 166]),0,192,167,166
36701,0.8015679717063904,Matmul([0; 51; 36703]),0,51,36703
36701,0.7639679908752441,Matmul([0; 453; 5824]),0,453,5824
9648,0.23977600038051605,Matmul([0; 97; 8859]),0,97,8859
9648,0.23161600530147552,Matmul([0; 473; 8861]),0,473,8861
9648,0.23161600530147552,Matmul([0; 8747; 499]),0,8747,499
9648,0.22566400468349457,Matmul([0; 8849; 180]),0,8849,180
3709,0.000022000000171829015,Concat([10; 192; 134; 573]),10,192,134,573
8875,0.40112000703811646,Matmul([0; 28; 525]),0,28,525
8875,0.3887999951839447,Matmul([0; 443; 273]),0,443,273
28667,0.5625920295715332,Matmul([0; 97; 28669]),0,97,28669
28667,0.5420160293579102,Matmul([0; 473; 3399]),0,473,3399
3069,0.5523520112037659,Matmul([0; 97; 3074]),0,97,3074
3069,0.00003199999991920777,Concat([10; 192; 469; 547]),10,192,469,547
333,0.000045000000682193786,Concat([10; 192; 105; 120]),10,192,105,120
4676,0,Split([10; 4675]),10,4675
5446,0,Split([10; 5445]),10,5445
3925,0.05350400134921074,Matmul([0; 3; 16375]),0,3,16375
3925,0.05407999828457832,Matmul([0; 29; 10534]),0,29,10534
3925,0.05407999828457832,Matmul([0; 52; 10536]),0,52,10536
3925,0.05407999828457832,Matmul([0; 75; 10538]),0,75,10538
3925,0.05407999828457832,Matmul([0; 98; 10540]),0,98,10540
3925,0.05532800033688545,Matmul([0; 121; 3924]),0,121,3924
3925,0.05532800033688545,Matmul([0; 144; 3929]),0,144,3929
11222,0.8015679717063904,Matmul([0; 97; 11224]),0,97,11224
11222,0.7639679908752441,Matmul([0; 473; 6744]),0,473,6744
11222,0.7639679908752441,Matmul([0; 8747; 6749]),0,8747,6749
385,0,Split([10; 384]),10,384
527,0.3963199853897095,Matmul([0; 51; 278]),0,51,278
527,0.000018000000636675395,Concat([10; 192; 449; 453]),10,192,449,453
527,0,Split1(7368),7368
527,0,Split1(7398),7398
527,0,Split1(7425),7425
527,0,Split1(7449),7449
527,0,Split1(8099),8099
527,0,Split1(8115),8115
527,0,Split1(8127),8127
527,0,Split1(8135),8135
527,0,Split1(8139),8139
527,0,Split1(8606),8606
10264,0.5625920295715332,Matmul([0; 28; 10266]),0,28,10266
10264,0.5505920052528381,Matmul([0; 443; 10268]),0,443,10268
10264,0.5420160293579102,Matmul([0; 8729; 2944]),0,8729,2944
10264,0.5420160293579102,Matmul([0; 8807; 2949]),0,8807,2949
29683,0.40112000703811646,Matmul([0; 74; 29687]),0,74,29687
29683,0.3935360014438629,Matmul([0; 463; 29689]),0,463,29689
